id,qr_code_url,machine_id,is_used,created_at
265,qrcodes/qr_265.png,,f,2025-04-22 09:47:09.076572+03
266,qrcodes/qr_266.png,,f,2025-04-22 09:47:09.085363+03
267,qrcodes/qr_267.png,,f,2025-04-22 09:47:09.094278+03
268,qrcodes/qr_268.png,,f,2025-04-22 09:47:09.102885+03
269,qrcodes/qr_269.png,,f,2025-04-22 09:47:09.111775+03
270,qrcodes/qr_270.png,,f,2025-04-22 09:47:09.122627+03
271,qrcodes/qr_271.png,,f,2025-04-22 09:47:09.137338+03
272,qrcodes/qr_272.png,,f,2025-04-22 09:47:09.146859+03
273,qrcodes/qr_273.png,,f,2025-04-22 09:47:09.158356+03
274,qrcodes/qr_274.png,,f,2025-04-22 09:47:09.168487+03
275,qrcodes/qr_275.png,,f,2025-04-22 09:47:09.178435+03
276,qrcodes/qr_276.png,,f,2025-04-22 09:47:09.188144+03
277,qrcodes/qr_277.png,,f,2025-04-22 09:47:09.197788+03
278,qrcodes/qr_278.png,,f,2025-04-22 09:47:09.207104+03
279,qrcodes/qr_279.png,,f,2025-04-22 09:47:09.217326+03
280,qrcodes/qr_280.png,,f,2025-04-22 09:47:09.226201+03
281,qrcodes/qr_281.png,,f,2025-04-22 09:47:09.236189+03
282,qrcodes/qr_282.png,,f,2025-04-22 09:47:09.245267+03
283,qrcodes/qr_283.png,,f,2025-04-22 09:47:09.253954+03
284,qrcodes/qr_284.png,,f,2025-04-22 09:47:09.263743+03
285,qrcodes/qr_285.png,,f,2025-04-22 09:47:09.27272+03
286,qrcodes/qr_286.png,,f,2025-04-22 09:47:09.283243+03
287,qrcodes/qr_287.png,,f,2025-04-22 09:47:09.292698+03
288,qrcodes/qr_288.png,,f,2025-04-22 09:47:09.301823+03
289,qrcodes/qr_289.png,,f,2025-04-22 09:47:09.31175+03
290,qrcodes/qr_290.png,,f,2025-04-22 09:47:09.321201+03
291,qrcodes/qr_291.png,,f,2025-04-22 09:47:09.330639+03
292,qrcodes/qr_292.png,,f,2025-04-22 09:47:09.339484+03
293,qrcodes/qr_293.png,,f,2025-04-22 09:47:09.34926+03
294,qrcodes/qr_294.png,,f,2025-04-22 09:47:09.358426+03
295,qrcodes/qr_295.png,,f,2025-04-22 09:47:09.366948+03
296,qrcodes/qr_296.png,,f,2025-04-22 09:47:09.376241+03
297,qrcodes/qr_297.png,,f,2025-04-22 09:47:09.385296+03
298,qrcodes/qr_298.png,,f,2025-04-22 09:47:09.394087+03
299,qrcodes/qr_299.png,,f,2025-04-22 09:47:09.403653+03
300,qrcodes/qr_300.png,,f,2025-04-22 09:47:09.41321+03
301,qrcodes/qr_301.png,,f,2025-04-22 09:47:09.422149+03
302,qrcodes/qr_302.png,,f,2025-04-22 09:47:09.431235+03
303,qrcodes/qr_303.png,,f,2025-04-22 09:47:09.44096+03
304,qrcodes/qr_304.png,,f,2025-04-22 09:47:09.450877+03
305,qrcodes/qr_305.png,,f,2025-04-22 09:47:09.460214+03
306,qrcodes/qr_306.png,,f,2025-04-22 09:47:09.47052+03
307,qrcodes/qr_307.png,,f,2025-04-22 09:47:09.479609+03
308,qrcodes/qr_308.png,,f,2025-04-22 09:47:09.48947+03
309,qrcodes/qr_309.png,,f,2025-04-22 09:47:09.49903+03
310,qrcodes/qr_310.png,,f,2025-04-22 09:47:09.509188+03
311,qrcodes/qr_311.png,,f,2025-04-22 09:47:09.51869+03
312,qrcodes/qr_312.png,,f,2025-04-22 09:47:09.527906+03
313,qrcodes/qr_313.png,,f,2025-04-22 09:47:09.538452+03
314,qrcodes/qr_314.png,,f,2025-04-22 09:47:09.547853+03
315,qrcodes/qr_315.png,,f,2025-04-22 09:47:09.557054+03
316,qrcodes/qr_316.png,,f,2025-04-22 09:47:09.565805+03
317,qrcodes/qr_317.png,,f,2025-04-22 09:47:09.575953+03
318,qrcodes/qr_318.png,,f,2025-04-22 09:47:09.585208+03
319,qrcodes/qr_319.png,,f,2025-04-22 09:47:09.594094+03
320,qrcodes/qr_320.png,,f,2025-04-22 09:47:09.603434+03
321,qrcodes/qr_321.png,,f,2025-04-22 09:47:09.612627+03
322,qrcodes/qr_322.png,,f,2025-04-22 09:47:09.621736+03
323,qrcodes/qr_323.png,,f,2025-04-22 09:47:09.632105+03
324,qrcodes/qr_324.png,,f,2025-04-22 09:47:09.641395+03
325,qrcodes/qr_325.png,,f,2025-04-22 09:47:09.650481+03
326,qrcodes/qr_326.png,,f,2025-04-22 09:47:09.65905+03
327,qrcodes/qr_327.png,,f,2025-04-22 09:47:09.667907+03
328,qrcodes/qr_328.png,,f,2025-04-22 09:47:09.67676+03
329,qrcodes/qr_329.png,,f,2025-04-22 09:47:09.685148+03
330,qrcodes/qr_330.png,,f,2025-04-22 09:47:09.694201+03
331,qrcodes/qr_331.png,,f,2025-04-22 09:47:09.703282+03
332,qrcodes/qr_332.png,,f,2025-04-22 09:47:09.711849+03
333,qrcodes/qr_333.png,,f,2025-04-22 09:47:09.720904+03
334,qrcodes/qr_334.png,,f,2025-04-22 09:47:09.730069+03
335,qrcodes/qr_335.png,,f,2025-04-22 09:47:09.738973+03
336,qrcodes/qr_336.png,,f,2025-04-22 09:47:09.75017+03
337,qrcodes/qr_337.png,,f,2025-04-22 09:47:09.759797+03
338,qrcodes/qr_338.png,,f,2025-04-22 09:47:09.770481+03
339,qrcodes/qr_339.png,,f,2025-04-22 09:47:09.785388+03
340,qrcodes/qr_340.png,,f,2025-04-22 09:47:09.803732+03
341,qrcodes/qr_341.png,,f,2025-04-22 09:47:09.817197+03
342,qrcodes/qr_342.png,,f,2025-04-22 09:47:09.826776+03
343,qrcodes/qr_343.png,,f,2025-04-22 09:47:09.835434+03
344,qrcodes/qr_344.png,,f,2025-04-22 09:47:09.844597+03
345,qrcodes/qr_345.png,,f,2025-04-22 09:47:09.854106+03
346,qrcodes/qr_346.png,,f,2025-04-22 09:47:09.863745+03
347,qrcodes/qr_347.png,,f,2025-04-22 09:47:09.872306+03
348,qrcodes/qr_348.png,,f,2025-04-22 09:47:09.881374+03
349,qrcodes/qr_349.png,,f,2025-04-22 09:47:09.890009+03
350,qrcodes/qr_350.png,,f,2025-04-22 09:47:09.899106+03
351,qrcodes/qr_351.png,,f,2025-04-22 09:47:09.908009+03
352,qrcodes/qr_352.png,,f,2025-04-22 09:47:09.917145+03
353,qrcodes/qr_353.png,,f,2025-04-22 09:47:09.925556+03
354,qrcodes/qr_354.png,,f,2025-04-22 09:47:09.934474+03
355,qrcodes/qr_355.png,,f,2025-04-22 09:47:09.94316+03
356,qrcodes/qr_356.png,,f,2025-04-22 09:47:09.951977+03
357,qrcodes/qr_357.png,,f,2025-04-22 09:47:09.961758+03
358,qrcodes/qr_358.png,,f,2025-04-22 09:47:09.971162+03
359,qrcodes/qr_359.png,,f,2025-04-22 09:47:09.979794+03
360,qrcodes/qr_360.png,,f,2025-04-22 09:47:09.990014+03
